plant_id,plant_name,description,lighting,kid_friendly,pet_friendly ,max_height,flowering,ideal_temp,environment,trail_or_hang,drought_tolerant,img
peperomia,Peperomia,,"medium, bright",true ,true,12,false ,55-88,both,,,
chinese_evergreen,Chinese Evergreen,,"low, medium ",false ,false ,36,false ,65-77,both,,,
grape_ivy,Grape Ivy,,"medium, bright",true ,true,84,false ,65-80,,true,,
norfolk_island_pine,Norfolk Island Pine,Easy beginner indoor tree,bright ,true ,true,,false ,60-75,both,,,
dieffenbachia,Dieffenbachia,,"low, medium ",false ,false,72,false ,60-80,both,,,
snake_plant,Snake Plant,Easy Beginner plant,"low, medium, bright",true ,true,48,false ,60-85,both,,high,
philodendron,Philodendron,,"low, medium, bright",false ,false,72,false ,60-80,,true,high,
english_ivy,English Ivy,,"low, medium, bright",false ,false ,72,false ,55-70,both,true,,
zz_plant,ZZ Plant,"Typo? No, they just last forever like they are taking a long slumber.. Zzzz...","low, medium, bright",false ,false,36,false ,60-75,,,high,
spider_plant,Spider Plant,,"medium, bright",true,true,24,false ,60-75,,,high,
rubber_tree,Rubber Tree,,"medium, bright",true ,true ,84,false ,60-80,,,,
pothos,Pothos,,"low, medium, bright",false ,false,84,false ,60-80,,,high,
cast_iron,Cast Iron Plant,,low,true,true,24,false ,45-85,,,,
ponytail_palm,Ponytail Palm,Actually a succulent rather than a palm!,bright ,true,true,120,false ,55-75,both,,,
calathea,Calathea,,low,true,true ,24,false ,65-75,,,high,
weeping_fig,Weeping Fig,Indirect but bright light. Ideal for corners next to windows!,bright ,false,false ,180,false ,60-75,,,medium,
kalanchoe,Kalanchoe,,bright ,false,false,24,true,60-75,,,high,
parlor_palm,Parlor palm,,"medium, bright",true,true,72,false ,60-80,,,high,
maidenhair_fern,Maidenhair Fern,The maidenhair is more fragile than most ferns. Avoid touching the fronds to prevent withering. Keep the soil constantly moist or place in a humid area. Maidenhairs can survive in low light but should be placed in medium to indirect bright light if you want more growth!,"low, medium, bright",true,true,24,false ,,both,false,low,
birds_nest_fern,Bird's Nest Fern,Maintain high humidity ,"low, medium, bright",,true,,false ,70-90,both,,high,
phalaenopsis_orchid,Phalaenopsis Orchid,Bright and indirect light for these to thrive!,bright ,true ,true,36,true,50-80,both,,high,
hoya_heart,Hoya Kerrii ,,"low,medium, bright",true ,true,72,true,65-80,,,,
monstera ,Monstera,,"low, medium, bright",false ,false,180,,65-85,,,high,
anthurium,Anthurium,,bright,false ,false,,true,,,,,
poinsettia,Poinsettia,Popular winter holiday plant.,"medium, bright",,,,true,,,,,
hydrangeas,Hydrangeas,,medium,,,,true,,,,,
cyclamen,Cyclamen,,bright,,,,true,,,,,
amaryllis,Amaryllis,Popular winter holiday plant.,"medium, bright",,,,true,,,,,
african_violet,African Violet,,"low, medium ",true,true,,true,,,,,
hibiscus,Hibiscus,,"medium, high",,,,true,,,,,
peace_lily,Peace Lily,,bright,false,false,,true,,,,,
clivia,Clivia,"If grown indoors, place these flowers near a bright spot. If they are outdoors, place them in indirect sun.","medium, bright",true,,,true,,,,,
bromeliads,Bromeliads,,bright,true,true,,true,,,,,
chrysanthemums,Chrysanthemums ,,bright,,,,,,,,,
christmas_cactus,Christmas Cactus,Succulent variety,"medium, bright",true,true,,,,both,,,
gloxinias,Gloxinias,bright,bright,,,,,,noth,,,
sedum_donkey_tail,Sedum Donkey's Tail,Succulent variety,"medium, bright",true,true,,,,both,true,high,
haworthia_zebra_plant,Haworthia Zebra plant,Succulent variety,"medium, bright",true,true,,,,both,,high,
echeveria,Echeveria,Succulent variety,bright,true,true,,,,both,,,
bunny_ear,Bunny Ear Cactus,,bright,false ,false,36,,,,,,
string_of_pearls,String of Pearls,,"medium, bright",false ,false,24,,,both,,,
begonia_obliqua,Begonia Obliqua,,"low, mid",true,true,24,true,58-72,both,,medium,
